PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-001,Spike,Investigate Shariah-compliant PLS contract model (musharakah/mudharabah) for MVP implementation,"R07 requires a profit-loss sharing model compliant with AAOIFI/IFSB guidance. The team lacks detailed knowledge of the exact profit-split rules, loss allocation, and required audit trails. This Spike will research authoritative sources (Malaysia SC, AAOIFI), consult with the Shariah Board (if available), and propose a simplified but compliant model suitable for the 12-week MVP.","Ģ Given research into AAOIFI and Malaysia SC guidelines, when the findings are compiled, then a documented summary of mandatory PLS elements is produced.
Ģ Given the mandatory elements, when reviewed with the Shariah Board (or liaison), then a simplified PLS model for MVP is agreed.
Ģ Given the agreed model, when documented in an ADR, then the ADR includes profit-split formulas, loss allocation rules, and data fields to be recorded.",R07,"Compliance,Shariah",5,P0,Tech Lead,Sprint 1,Done,Access to Shariah Board or qualified Islamic finance expert,"- add an explicit profit-split formula to ADR-2026-001, such as:
- investor_profit = distributable_profit ū rabb_al_mal_ratio
- mudarib_profit = distributable_profit ū mudarib_ratio
- attach or reference the actual PBI-001 findings/summary document"
PBI-002,Spike,Define hybrid blockchain anchoring approach for immutable audit trail,"R05 requires an immutable audit trail for procure-to-pay events. The project constraints (Section 4) mandate a centralized-first or hybrid architecture, not a full blockchain rollout. This Spike will investigate lightweight methods to achieve immutability and auditability, such as: hashing events and storing proofs on a permissioned blockchain (or public testnet), using a trusted timestamping authority, or storing hashes in a tamper-evident database (e.g., Amazon QLDB). The goal is to select the simplest approach that meets audit requirements and can be implemented within 12 weeks.","Ģ Given the project constraints (Section 4.2), when at least three anchoring options are evaluated, then a comparison matrix is produced (cost, complexity, immutability guarantees).
Ģ Given the comparison, when reviewed with the Tech Lead and PO, then a recommended approach is selected.
Ģ Given the selected approach, when documented in an ADR, then the ADR includes architecture diagram, data flow, and evidence of a working proof-of-concept (e.g., script that hashes an event and stores it on a test network).",R05,"Performance,Security",5,P0,Blockchain Developer,Sprint 1,Done,"Access to test blockchain network (e.g., Hyperledger Fabric test environment or public testnet)","- add an architecture diagram to ADR-2026-002
- add a short data-flow section
- add a direct PoC evidence/reference section in the ADR"
PBI-003,Story,Supplier onboarding with KYC/AML check,"As a supplier, I want to register on the platform and complete a KYC check so that I can participate in procure-to-pay activities.","Ģ Given a new supplier, when they submit registration with business details and documents, then a KYC record is created with status 'Pending'.
Ģ Given a submitted KYC, when an admin approves it, then the supplier status becomes 'Verified'.
Ģ Given a verified supplier, when they log in, then they see their verified badge.",R02,"Compliance,Security",8,P1,Backend Dev,TBD,New,Requires KYC service (mock or integrated),Manual KYC approval in MVP; document upload only.
PBI-004,Story,Role-based access and user management,"As a platform admin, I want to assign roles (SME, Buyer, Bank) to users so that they see appropriate dashboards and permissions.","Ģ Given an admin user, when they create a new user, they can select a role from SME, Buyer, Bank.
Ģ Given a user with role SME, when they log in, they see only SME functions (e.g., submit invoice).
Ģ Given a user with role Buyer, when they log in, they see procurement functions (create PO, approve delivery).",R03,Security,5,P2,Frontend Dev,TBD,New,,Simple role enum; no fine-grained permissions.
PBI-005,Story,Procure-to-pay workflow: Create and approve purchase order,"As a buyer, I want to create a purchase order and have the supplier accept it, so that the procurement process begins.","Ģ Given a buyer, when they create a PO with supplier, items, and value, then the PO is stored with status 'Pending Supplier Acceptance'.
Ģ Given a PO with status 'Pending', when the supplier views it and clicks Accept, then the PO status changes to 'Accepted'.
Ģ Given an accepted PO, when the supplier delivers goods, they can mark it as 'Delivered'.",R06,,8,P1,Fullstack Dev,TBD,New,,Simple workflow without escrow yet.
PBI-006,Story,Invoice submission and approval,"As a supplier, I want to submit an invoice for a delivered PO so that I can get paid.","Ģ Given a PO marked 'Delivered', when the supplier uploads an invoice, then the invoice is created with status 'Pending Buyer Approval'.
Ģ Given an invoice, when the buyer approves it, then the invoice status changes to 'Approved'.
Ģ Given an approved invoice, the system records the amount due.",R06,,5,P2,Fullstack Dev,TBD,New,,No payment execution in MVP; just status.
PBI-007,Story,Basic PLS profit/loss calculation and recording,"As a bank, I want to record a PLS contract and compute profit/loss for a financing so that the Shariah-compliant distribution is tracked.","Ģ Given a PLS contract created with parameters (profit ratio, capital amounts), when an invoice is settled, the system calculates profit share according to the ADR-2026-001 formula.
Ģ Given a calculated profit, the system records it in the audit trail with contract ID, amounts, and timestamp.",R07,"Compliance,Shariah",13,P0,Backend Dev,TBD,PBI-001 (Spike),Implementation based on ADR-2026-001.,
PBI-008,Story,Immutable audit trail for procure-to-pay events,"As an auditor, I want every key event (PO, delivery, invoice, approval) to be recorded with a hash anchored to an immutable store so that the log cannot be tampered with.","Ģ Given any PO creation, when it is saved, the system generates a hash of the event data and stores it in the audit log with timestamp.
Ģ Given a delivery event, when recorded, its hash is anchored using the method defined in ADR-2026-002.
Ģ Given an auditor request, the system can export a signed bundle of events with their hashes for verification.",R05,"Security,Audit",8,P0,Backend Dev,TBD,PBI-002 (Spike),Implements hybrid anchoring as per spike.,
PBI-009,Story,Audit report export for regulators,"As a regulator, I want to request and receive an export of all relevant transactions for a given period so that I can perform compliance checks.","Ģ Given a regulator user, when they select a date range and request export, the system generates a CSV file with all events (POs, deliveries, invoices, PLS records) and their hashes.
Ģ The export includes a digital signature to verify authenticity.",R15,Compliance,5,P2,Backend Dev,TBD,,PBI-008,Simple export; no custom queries.
PBI-010,Enabler,Shariah governance workflow (manual approval),"As a Shariah Board member, I want to review and approve new PLS products before they are used, so that compliance is ensured.","Ģ Given a new PLS contract template, when it is submitted for approval, a task is created for the Shariah Board.
Ģ Given a Shariah Board member, they can view the contract details and mark it as 'Approved' or 'Rejected'.
Ģ Approved contracts are recorded in the system with a reference to the approval.",R20,"Compliance,Shariah",3,P1,Frontend/Backend,TBD,,Manual workflow; no on-chain signatures in MVP.,
PBI-011,Story,"Role-based dashboards for SMEs, Buyers, Banks","As a user, I want a dashboard tailored to my role showing relevant information and actions.","Ģ Given a logged-in SME, the dashboard shows their open POs, submitted invoices, and PLS contracts (if any).
Ģ Given a buyer, the dashboard shows pending supplier acceptances, invoices to approve, and audit reports.
Ģ Given a bank, the dashboard shows PLS contracts and profit/loss records.",R17,UX,5,P2,Frontend Dev,TBD,,Basic views with read-only data.,
PBI-012,Task,Access logging with non-repudiation,Ensure all user actions that change state are logged with user identity and a cryptographic signature (or hash) to support non-repudiation.,"Ģ Given any state-changing API call (create PO, approve invoice), the system logs the user ID, timestamp, and a hash of the action.
Ģ The log is stored in the audit trail and included in exports.",R22,"Security,Audit",3,P2,Backend Dev,TBD,,Part of audit trail implementation.,
